Il giroruota misura: 1520 mm
12/06/2024   20:11

0,00
0,00
0,00
asdsd
0,0
00,0
00,0
10,6
14,7
16,5
16,5
17,8
18,5
19,2
20,1
20,8
21,5
22,0
22,4
22,6
23,2
23,7
23,7
24,2
24,6
24,8
24,7
25,2
25,2
25,5
25,5
27,3
29,4
29,4
29,1
29,1
28,9
28,7
28,4
28,4
28,3
28,3
28,3
28,1
28,1
27,6
27,6
28,0
28,1
27,8
27,8
27,8
28,0
28,0
27,7
27,7
29,3
29,5
29,5
30,6
30,6
30,0
30,0
29,5
29,4
29,2
29,1
28,9
28,9
28,9
28,5
28,3
28,1
27,9
27,9
27,3
27,0
27,0
27,0
28,3
27,9
27,9
28,2
26,8
26,8
26,1
25,4
25,4
24,6
24,2
23,6
23,6
22,1
21,2
20,5
19,7
19,7
17,9
17,2
17,2
16,3
14,0
12,8
12,8
11,4
09,7
